UKPRN,HE Provider,Region of HE provider,lat,lon,Alternative Name
10000291,Anglia Ruskin University,East of England,52.20338815,0.1350225704824107,Anglia Ruskin University
10007759,Aston University,West Midlands,52.48620975,-1.888502354328005,Aston University
10000571,Bath Spa University,South West,51.374858,-2.438714578176041,Bath Spa University
10007850,The University of Bath,South West,51.3799711,-2.3298145,The University of Bath
10007152,University of Bedfordshire,East of England,51.877864200000005,-0.41062506211596705,University of Bedfordshire
10007760,Birkbeck College,London,51.52184485,-0.13021550670673807,Birkbeck College
10007140,Birmingham City University,West Midlands,52.4822706,-1.8888147987150585,Birmingham City University
10006840,The University of Birmingham,West Midlands,52.435015899999996,-1.947159562796694,The University of Birmingham
10007811,Bishop Grosseteste University,East Midlands,53.24382875,-0.5336341637175324,Bishop Grosseteste University
10000385,The Arts University Bournemouth,South West,50.7418816,-1.8976735,The Arts University Bournemouth
10000824,Bournemouth University,South West,50.7430262,-1.8989314,Bournemouth University
10007785,The University of Bradford,Yorkshire and The Humber,53.7912775,-1.7666110188908903,Bradford University
10000886,The University of Brighton,South East,50.8459497,-0.1166082,Brighton University
10007786,The University of Bristol,South West,51.4905582,-2.6304824978595356,Bristol University
10000961,Brunel University London,London,51.5326092,-0.47404989072672915,Brunel University London
10000975,Buckinghamshire New University,South East,51.62782205,-0.75343598276741,Buckinghamshire New University
10007788,The University of Cambridge,East of England,52.1867003,0.13650796363903167,The University of Cambridge
10003324,The Institute of Cancer Research,London,51.489775249999994,-0.17461057962416415,The Institute of Cancer Research
10001143,Canterbury Christ Church University,South East,51.2791874,1.0903253466811516,Canterbury Christ Church University
10007141,The University of Central Lancashire,North West,53.7639438,-2.708628669086232,UCLan
10007848,University of Chester,North West,53.200264250000004,-2.8993188621319756,University of Chester
10007137,The University of Chichester,South East,50.8449436,-0.7740064130646287,Chichester University
10001478,"City, University of London",London,51.527658200000005,-0.1035244775461434,"City, University of London"
10001726,Coventry University,West Midlands,52.4056372,-1.4997222676795412,Coventry University
10007822,Cranfield University,East of England,52.070132900000004,-0.6287023427161589,Cranfield University
10006427,University for the Creative Arts,South East,51.2162625,-0.8060567021382656,University for the Creative Arts
10007842,University of Cumbria,North West,54.8908157,-2.9223991,University of Cumbria
10001883,De Montfort University,East Midlands,52.630060900000004,-1.1398434074941486,De Montfort University
10007851,University of Derby,East Midlands,52.937954700000006,-1.497999105195924,University of Derby
10007143,University of Durham,North East,54.78872105,-1.593180730307772,University of Durham
10007789,The University of East Anglia,East of England,52.62106225,1.2356187242525833,UEA
10007144,The University of East London,London,51.543293,0.0090505,UEL
10007791,The University of Essex,East of England,51.87703035,0.9500788585686786,University of Essex Colchester Campus
10007792,The University of Exeter,South West,50.73693715,-3.534734858662963,Exeter University
10008640,Falmouth University,South West,50.1489352,-5.070568228184767,Falmouth University
10004511,The National Film and Television School,South East,51.6050903,-0.6377671807058758,NFTS
10007145,University of Gloucestershire,South West,51.8731804,-2.2239706215311656,University of Gloucestershire
10002718,Goldsmiths College,London,51.473283949999995,-0.03662674755260884,Goldsmiths College
10007146,The University of Greenwich,London,51.4825423,-0.0066531,Greenwich University
10007825,Guildhall School of Music and Drama,London,51.5195225,-0.09237460258003621,Guildhall School of Music and Drama
10007147,University of Hertfordshire,East of England,51.75174425,-0.23904979445944738,University of Hertfordshire
10007148,The University of Huddersfield,Yorkshire and The Humber,53.6428959,-1.7781768079827107,Huddersfield University
10007149,The University of Hull,Yorkshire and The Humber,53.769248,-0.3688096,Hull University
10003270,"Imperial College of Science, Technology and Medicine",London,51.4989595,-0.17564069276310426,Imperial College London
10007767,Keele University,West Midlands,53.0016756,-2.270694218876779,Keele University
10007150,The University of Kent,South East,51.295015750000005,1.0673010856199983,The University of Kent
10003645,King's College London,London,51.511407500000004,-0.11622263458819326,"King's College London, Strand"
10003678,Kingston University,London,51.403073899999995,-0.3032181426130893,Kingston University
10007768,The University of Lancaster,North West,54.0108677,-2.7854146,The University of Lancaster
10003861,Leeds Beckett University,Yorkshire and The Humber,53.826144150000005,-1.5933537200236456,Leeds Beckett University
10007795,The University of Leeds,Yorkshire and The Humber,53.8430407,-1.58866989583375,The University of Leeds
10003863,Leeds Trinity University,Yorkshire and The Humber,53.8481537,-1.6450164550572741,Leeds Trinity University
10007796,The University of Leicester,East Midlands,52.62169525,-1.1246945741832923,Leicester University
10007151,The University of Lincoln,East Midlands,53.24412775,-0.5357217128135576,The University of Lincoln
10003956,Liverpool Hope University,North West,53.3907886,-2.8951193722185367,Liverpool Hope University
10003957,Liverpool John Moores University,North West,53.4028621,-2.9711421961546525,Liverpool John Moores University
10006842,The University of Liverpool,North West,53.40724285,-2.965833661018871,Liverpool University
10003958,Liverpool School of Tropical Medicine,North West,53.4086917,-2.9694971199140126,Liverpool School of Tropical Medicine
10007162,"University of the Arts, London",London,51.51768525,-0.11633584389344499,"University of the Arts, London"
10007797,University of London (Institutes and activities),London,51.5218979,-0.1288676341954016,University of London
10004048,London Metropolitan University,London,51.51771165,-0.08816256361773317,London Metropolitan University
10004078,London South Bank University,London,51.497703200000004,-0.10180888945112561,London South Bank University
10004063,London School of Economics and Political Science,London,51.51426105,-0.11673351981492822,London School of Economics and Political Science
10007771,London School of Hygiene and Tropical Medicine,London,51.5209537,-0.13037143644571766,London School of Hygiene and Tropical Medicine
10004113,Loughborough University,East Midlands,52.7626882,-1.2396365359627026,Loughborough University
10004180,The Manchester Metropolitan University,North West,53.469478800000005,-2.237982328386609,Manchester Metropolitan University
10007798,The University of Manchester,North West,53.46565525,-2.2325776602643206,Manchester University
10007799,Newcastle University,North East,54.98017505,-1.6146802127187847,Newcastle University
10007138,The University of Northampton,East Midlands,,,"Waterside Campus, University of Northampton"
10001282,University of Northumbria at Newcastle,North East,54.977755349999995,-1.607282403525396,Northumbria University
10004775,Norwich University of the Arts,East of England,52.6308773,1.29499856903557,Norwich University of the Arts
10007154,University of Nottingham,East Midlands,52.9387428,-1.2002956927457427,University of Nottingham
10004797,The Nottingham Trent University,East Midlands,52.957732199999995,-1.1561587845079129,The Nottingham Trent University
10007773,The Open University,South East,52.02453775,-0.7092748093945007,The Open University
10004930,Oxford Brookes University,South East,51.7549229,-1.2242411304246317,Oxford Brookes University
10007774,The University of Oxford,South East,51.7659236,-1.262828236270458,The University of Oxford
10007801,University of Plymouth,South West,50.37566725000001,-4.139359304645783,University of Plymouth
10007155,The University of Portsmouth,South East,50.7938881,-1.0978796,The University of Portsmouth
10007775,Queen Mary University of London,London,51.52492685,-0.03924405317429028,Queen Mary University of London
10007802,The University of Reading,South East,51.4402496,-0.9484891,Reading University
10005523,Rose Bruford College of Theatre and Performance,London,51.438609,0.1072173636791274,Rose Bruford College
10007778,Royal College of Music,London,51.4996796,-0.17712064632631946,Royal College of Music
10007816,The Royal Central School of Speech and Drama,London,51.54430755,-0.1741025801918736,The Royal Central School of Speech and Drama
10005553,Royal Holloway and Bedford New College,South East,51.424449550000006,-0.5642561069587715,Royal Holloway and Bedford New College
10007782,"St George's, University of London",London,51.4273617,-0.1749488,"St George's, University of London"
10007843,"St Mary's University, Twickenham",London,51.4371611,-0.3361972,"St Mary's University, Twickenham"
10007156,The University of Salford,North West,53.4886422,-2.2783094237220456,Salford University
10005790,Sheffield Hallam University,Yorkshire and The Humber,53.38172635,-1.462795139475161,Sheffield Hallam University
10007157,The University of Sheffield,Yorkshire and The Humber,53.3806759,-1.4840345,The University of Sheffield
10006022,Solent University,South East,50.9086815,-1.4005162611321633,Solent University
10007158,The University of Southampton,South East,50.9617568,-1.4239975092825465,Southampton University
10006299,Staffordshire University,West Midlands,53.009474749999995,-2.1742692248780635,Staffordshire University
10037449,University of St Mark and St John,South West,,,"Plymouth Marjon University, Derriford"
10014001,University of Suffolk,East of England,52.05239985,1.163400915771065,University of Suffolk
10007159,The University of Sunderland,North East,54.911761850000005,-1.3737059250043617,The University of Sunderland
10007160,The University of Surrey,South East,51.24307815,-0.5900544877514773,Surrey University
10007806,The University of Sussex,South East,50.86796665,-0.08778899363132905,Sussex University
10007161,Teesside University,North East,54.57045085,-1.2350523547123817,Teesside University
10008017,Trinity Laban Conservatoire of Music and Dance,London,51.4833429,-0.0069469,Trinity Laban Conservatoire of Music and Dance
10007784,University College London,London,51.52420305,-0.13300072425929543,University College London
10007163,The University of Warwick,West Midlands,52.27113265,-1.5415061852234824,Warwick University
10007164,"University of the West of England, Bristol",South West,51.50076785,-2.5503106339491204,UWE Bristol
10006566,The University of West London,London,51.5070185,-0.3028075365414086,The University of West London
10007165,The University of Westminster,London,51.5776153,-0.326252,The University of Westminster
10003614,The University of Winchester,South East,51.06273795,-1.3329131222715718,The University of Winchester
10007139,University of Worcester,West Midlands,52.195757400000005,-2.226179723171323,University of Worcester
10007713,York St John University,Yorkshire and The Humber,53.9828768,-1.0762464005920434,York St John University
10007167,The University of York,Yorkshire and The Humber,53.96269005,-1.0864632144433781,The University of York
10004351,Middlesex University,London,51.590297050000004,-0.2296322094540291,Middlesex University
10007780,SOAS University of London,London,51.5218979,-0.1288676341954016,SOAS
10007166,The University of Wolverhampton,West Midlands,52.5719739,-1.9699298,The University of Wolverhampton
10007823,Edge Hill University,North West,53.55830545,-2.869269278551262,Edge Hill University
10007779,The Royal Veterinary College,London,51.536826399999995,-0.13361570829139682,The Royal Veterinary College
10000163,AECC University College,South West,50.726868499999995,-1.8288714058645574,AECC University College
10000712,University College Birmingham,West Midlands,52.481672,-1.9061374380791707,University College Birmingham
10006841,The University of Bolton,North West,53.57142575,-2.4264782591265446,The University of Bolton
10000936,The University College of Osteopathy,London,51.5001841,-0.09459868667582494,The University College of Osteopathy
10001653,Conservatoire for Dance and Drama,London,,,Rambert School of Ballet and Contemporary Dance
10007761,Courtauld Institute of Art,London,51.51149315,-0.11772887582631139,Courtauld Institute of Art
10040812,Harper Adams University,West Midlands,52.78025975,-2.4322511730575487,Harper Adams University
10003854,Leeds Arts University,Yorkshire and The Humber,53.808804949999995,-1.5511542789300523,Leeds Arts University
10003945,The Liverpool Institute for Performing Arts,North West,53.39961655,-2.9720296503318586,LIPA
10007769,London Business School,London,51.52638485,-0.16114836844474495,London Business School
10007832,Newman University,West Midlands,52.43411935,-1.9943107286222492,Newman University
10005127,Arts University Plymouth,South West,50.3727993,-4.136978908841802,Arts University Plymouth
10005389,Ravensbourne University London,London,51.50165815,0.005704460486348751,Ravensbourne University London
10007776,Roehampton University,London,51.4485315,-0.24401071122664614,Roehampton University
10007835,Royal Academy of Music,London,51.52346355,-0.15186193316208124,Royal Academy of Music
10005545,Royal Agricultural University,South West,51.7080041,-1.9916068233124282,Royal Agricultural University
10007777,Royal College of Art,London,51.5132495,-0.22872641639436697,Royal College of Art
10007837,Royal Northern College of Music,North West,53.46831975,-2.2372404920394153,Royal Northern College of Music
10007657,Writtle University College,East of England,51.736208000000005,0.4263975019465964,Writtle University College
